CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
56	0	13	0.00	13
57	0	14	0.00	14
58	0	11	0.00	11
59	1	11	8.33	12
60	1	11	8.33	12
61	0	12	0.00	12
62	0	11	0.00	11
63	1	11	8.33	12
64	1	18	5.26	19
65	0	13	0.00	13
66	0	12	0.00	12
67	0	10	0.00	10
68	0	9	0.00	9
69	0	15	0.00	15
70	0	11	0.00	11
71	0	10	0.00	10
72	0	12	0.00	12
73	0	7	0.00	7
74	1	4	20.00	5
75	0	15	0.00	15
76	0	11	0.00	11
77	0	8	0.00	8
78	1	8	11.11	9
79	1	6	14.29	7
80	0	8	0.00	8
81	0	11	0.00	11
82	0	8	0.00	8
83	1	15	6.25	16
84	1	17	5.56	18
85	0	14	0.00	14
86	0	8	0.00	8
87	0	7	0.00	7
88	0	7	0.00	7
89	0	10	0.00	10
90	1	6	14.29	7
91	0	3	0.00	3
92	0	2	0.00	2
93	0	7	0.00	7
94	2	15	11.76	17

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4	245	1.61	249
2	4	197	1.99	201
3	1	53	1.85	54
4	0	58	0.00	58
5	1	50	1.96	51
6	2	40	4.76	42
7	0	59	0.00	59
8	4	41	8.89	45
9	2	39	4.88	41
10	1	47	2.08	48
11	2	63	3.08	65
12	3	55	5.17	58
13	3	65	4.41	68
14	3	71	4.05	74
15	3	50	5.66	53
16	0	60	0.00	60
17	1	46	2.13	47
18	0	43	0.00	43
19	0	45	0.00	45
20	3	58	4.92	61
21	2	40	4.76	42
22	3	35	7.89	38
23	2	38	5.00	40
24	1	42	2.33	43
25	3	63	4.55	66
26	2	41	4.65	43
27	0	56	0.00	56
28	1	58	1.69	59
29	1	65	1.52	66
30	5	56	8.20	61
31	0	47	0.00	47
32	3	42	6.67	45
33	3	49	5.77	52
34	0	48	0.00	48
35	4	57	6.56	61
36	3	53	5.36	56
37	1	52	1.89	53
38	2	46	4.17	48
39	0	35	0.00	35
40	2	32	5.88	34
41	1	21	4.55	22
42	0	36	0.00	36
43	2	49	3.92	51
44	1	49	2.00	50
45	2	40	4.76	42
46	1	40	2.44	41
47	0	26	0.00	26
48	0	42	0.00	42
49	0	35	0.00	35
50	0	41	0.00	41
51	0	41	0.00	41
52	1	30	3.23	31
53	1	47	2.08	48
54	1	52	1.89	53
55	2	44	4.35	46
56	0	40	0.00	40
57	1	36	2.70	37
58	3	27	10.00	30
59	1	33	2.94	34
60	0	37	0.00	37
61	1	33	2.94	34
62	0	31	0.00	31
63	0	32	0.00	32
64	0	28	0.00	28
65	0	26	0.00	26
66	0	23	0.00	23
67	2	38	5.00	40
68	1	31	3.12	32
69	1	31	3.12	32
70	1	47	2.08	48
71	4	32	11.11	36
72	3	31	8.82	34
73	3	32	8.57	35
74	2	26	7.14	28
75	2	20	9.09	22
76	3	25	10.71	28
77	0	17	0.00	17
78	0	29	0.00	29
79	2	38	5.00	40
80	1	29	3.33	30
81	0	22	0.00	22
82	1	25	3.85	26
83	1	31	3.12	32
84	3	28	9.68	31
85	0	26	0.00	26
86	2	21	8.70	23
87	0	20	0.00	20
88	1	30	3.23	31
89	0	36	0.00	36
90	2	49	3.92	51
91	4	35	10.26	39
92	3	19	13.64	22
93	2	24	7.69	26
94	1	23	4.17	24

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2	5	28.57	7
2	2	1	66.67	3
3	1	2	33.33	3
4	3	1	75.00	4
5	1	0	100.00	1
6	0	0		0
7	0	1	0.00	1
8	1	2	33.33	3
9	2	2	50.00	4
10	0	0		0
11	0	1	0.00	1
12	1	2	33.33	3
13	0	0		0
14	1	0	100.00	1
15	1	3	25.00	4
16	2	0	100.00	2
17	0	2	0.00	2
18	0	0		0
19	0	1	0.00	1
20	1	2	33.33	3
21	0	0		0
22	0	2	0.00	2
23	2	0	100.00	2
24	1	1	50.00	2
25	2	0	100.00	2
26	0	1	0.00	1
27	0	0		0
28	0	0		0
29	1	3	25.00	4
30	0	0		0
31	0	1	0.00	1
32	0	2	0.00	2
33	1	0	100.00	1
34	1	1	50.00	2
35	0	0		0
36	1	0	100.00	1
37	0	1	0.00	1
38	1	1	50.00	2
39	1	0	100.00	1
40	1	2	33.33	3
41	0	0		0
42	0	1	0.00	1
43	0	1	0.00	1
44	0	1	0.00	1
45	2	0	100.00	2
46	2	1	66.67	3
47	4	0	100.00	4
48	0	1	0.00	1
49	0	1	0.00	1
50	1	0	100.00	1
51	0	0		0
52	1	0	100.00	1
53	0	0		0
54	2	0	100.00	2
55	0	0		0
56	1	0	100.00	1
57	2	0	100.00	2
58	2	1	66.67	3
59	0	1	0.00	1
60	0	0		0
61	0	0		0
62	0	0		0
63	2	1	66.67	3
64	0	2	0.00	2
65	0	0		0
66	0	2	0.00	2
67	2	1	66.67	3
68	1	0	100.00	1
69	0	0		0
70	1	0	100.00	1
71	1	0	100.00	1
72	1	0	100.00	1
73	1	0	100.00	1
74	0	0		0
75	1	0	100.00	1
76	0	0		0
77	1	1	50.00	2
78	0	0		0
79	0	0		0
80	2	1	66.67	3
81	0	1	0.00	1
82	0	0		0
83	0	0		0
84	0	0		0
85	1	0	100.00	1
86	0	0		0
87	0	0		0
88	0	0		0
89	0	0		0

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	16	0.00	16
2	0	5	0.00	5
3	0	4	0.00	4
4	0	4	0.00	4
5	1	5	16.67	6
6	0	11	0.00	11
7	0	3	0.00	3
8	1	4	20.00	5
9	0	10	0.00	10
10	0	5	0.00	5
11	0	5	0.00	5
12	0	8	0.00	8
13	1	8	11.11	9
14	0	5	0.00	5
15	1	5	16.67	6
16	1	3	25.00	4
17	0	2	0.00	2
18	0	16	0.00	16
19	0	5	0.00	5
20	1	8	11.11	9
21	0	7	0.00	7
22	1	7	12.50	8
23	0	8	0.00	8
24	0	3	0.00	3
25	0	6	0.00	6
26	1	5	16.67	6
27	0	7	0.00	7
28	0	5	0.00	5
29	0	6	0.00	6
30	0	7	0.00	7
31	1	6	14.29	7
32	0	4	0.00	4
33	0	4	0.00	4
34	0	5	0.00	5
35	0	5	0.00	5
36	0	10	0.00	10
37	1	4	20.00	5
38	0	4	0.00	4
39	1	4	20.00	5
40	0	3	0.00	3
41	1	5	16.67	6
42	0	3	0.00	3
43	0	3	0.00	3
44	0	1	0.00	1
45	0	4	0.00	4
46	2	5	28.57	7
47	0	4	0.00	4
48	0	4	0.00	4
49	0	2	0.00	2
50	0	6	0.00	6
51	2	5	28.57	7
52	0	5	0.00	5
53	1	10	9.09	11
54	0	3	0.00	3
55	0	1	0.00	1
56	0	4	0.00	4
57	2	5	28.57	7
58	0	4	0.00	4
59	0	7	0.00	7
60	0	4	0.00	4
61	0	6	0.00	6
62	0	5	0.00	5
63	0	6	0.00	6
64	0	3	0.00	3
65	0	8	0.00	8
66	0	2	0.00	2
67	0	3	0.00	3
68	0	4	0.00	4
69	0	3	0.00	3
70	0	2	0.00	2
71	0	3	0.00	3
72	0	7	0.00	7
73	1	4	20.00	5
74	0	2	0.00	2
75	0	3	0.00	3
76	0	6	0.00	6
77	1	5	16.67	6
78	0	1	0.00	1
79	0	2	0.00	2
80	0	3	0.00	3
81	0	3	0.00	3
82	0	1	0.00	1
83	0	1	0.00	1
84	0	3	0.00	3
85	1	5	16.67	6
86	0	3	0.00	3
87	0	2	0.00	2
88	0	2	0.00	2
89	0	2	0.00	2

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3	40	6.98	43
2	1	32	3.03	33
3	0	19	0.00	19
4	2	33	5.71	35
5	2	28	6.67	30
6	2	42	4.55	44
7	0	26	0.00	26
8	2	29	6.45	31
9	1	21	4.55	22
10	0	26	0.00	26
11	4	32	11.11	36
12	0	21	0.00	21
13	0	18	0.00	18
14	0	20	0.00	20
15	0	26	0.00	26
16	0	26	0.00	26
17	1	21	4.55	22
18	0	15	0.00	15
19	1	16	5.88	17
20	2	20	9.09	22
21	0	17	0.00	17
22	2	24	7.69	26
23	0	13	0.00	13
24	0	29	0.00	29
25	0	15	0.00	15
26	0	15	0.00	15
27	0	12	0.00	12
28	2	25	7.41	27
29	0	29	0.00	29
30	0	18	0.00	18
31	0	23	0.00	23
32	0	16	0.00	16
33	2	15	11.76	17
34	0	11	0.00	11
35	0	16	0.00	16
36	1	15	6.25	16
37	0	17	0.00	17
38	0	17	0.00	17
39	0	11	0.00	11
40	0	19	0.00	19
41	0	10	0.00	10
42	0	15	0.00	15
43	0	17	0.00	17
44	0	15	0.00	15
45	0	18	0.00	18
46	1	11	8.33	12
47	0	7	0.00	7
48	2	9	18.18	11
49	0	8	0.00	8
50	0	18	0.00	18
51	1	10	9.09	11
52	1	14	6.67	15
53	0	12	0.00	12
54	0	15	0.00	15
55	1	15	6.25	16
56	1	16	5.88	17
57	1	10	9.09	11
58	1	14	6.67	15
59	0	16	0.00	16
60	0	16	0.00	16
61	0	23	0.00	23
62	0	11	0.00	11
63	0	19	0.00	19
64	0	9	0.00	9
65	0	16	0.00	16
66	0	7	0.00	7
67	1	10	9.09	11
68	1	14	6.67	15
69	1	12	7.69	13
70	0	10	0.00	10
71	0	8	0.00	8
72	0	9	0.00	9
73	1	11	8.33	12
74	0	6	0.00	6
75	0	5	0.00	5
76	0	8	0.00	8
77	1	11	8.33	12
78	0	8	0.00	8
79	0	8	0.00	8
80	0	8	0.00	8
81	0	12	0.00	12
82	1	11	8.33	12
83	0	9	0.00	9
84	0	9	0.00	9
85	1	9	10.00	10
86	0	14	0.00	14
87	0	10	0.00	10
88	0	11	0.00	11
89	1	9	10.00	10

