CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
52	1	49	2.00	50
53	1	25	3.85	26
54	2	29	6.45	31
55	3	34	8.11	37
56	2	30	6.25	32
57	0	37	0.00	37
58	0	39	0.00	39
59	1	27	3.57	28
60	1	22	4.35	23
61	2	33	5.71	35
62	2	26	7.14	28
63	1	30	3.23	31
64	1	32	3.03	33
65	2	28	6.67	30
66	0	31	0.00	31
67	1	37	2.63	38
68	2	22	8.33	24
69	1	28	3.45	29
70	3	22	12.00	25
71	1	29	3.33	30
72	1	32	3.03	33
73	2	24	7.69	26
74	0	22	0.00	22
75	0	25	0.00	25
76	1	34	2.86	35
77	0	24	0.00	24
78	2	14	12.50	16
79	2	27	6.90	29
80	0	36	0.00	36
81	1	27	3.57	28
82	3	18	14.29	21
83	1	22	4.35	23
84	1	24	4.00	25
85	0	11	0.00	11
86	1	29	3.33	30
87	0	27	0.00	27
88	1	28	3.45	29
89	0	26	0.00	26
90	1	20	4.76	21
91	0	21	0.00	21

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	1	50.00	2
2	0	3	0.00	3
3	4	2	66.67	6
4	0	1	0.00	1
5	0	1	0.00	1
6	0	3	0.00	3
7	1	1	50.00	2
8	0	1	0.00	1
9	3	0	100.00	3
10	2	2	50.00	4
11	2	0	100.00	2
12	1	0	100.00	1
13	1	3	25.00	4
14	0	2	0.00	2
15	0	1	0.00	1
16	0	1	0.00	1
17	2	0	100.00	2
18	1	0	100.00	1
19	2	1	66.67	3
20	2	0	100.00	2
21	1	0	100.00	1
22	2	1	66.67	3
23	1	0	100.00	1
24	1	1	50.00	2
25	0	0		0
26	1	2	33.33	3
27	0	0		0
28	4	2	66.67	6
29	4	1	80.00	5
30	0	0		0
31	0	0		0
32	2	0	100.00	2
33	0	0		0
34	0	0		0
35	1	1	50.00	2
36	0	0		0
37	3	0	100.00	3
38	0	3	0.00	3
39	0	0		0
40	0	0		0
41	0	1	0.00	1
42	0	0		0
43	0	0		0
44	0	0		0
45	0	0		0
46	1	0	100.00	1
47	0	1	0.00	1
48	0	1	0.00	1
49	0	1	0.00	1
50	0	1	0.00	1
51	1	1	50.00	2
52	1	0	100.00	1
53	1	0	100.00	1
54	0	1	0.00	1
55	2	0	100.00	2
56	0	0		0
57	1	1	50.00	2
58	1	1	50.00	2
59	0	1	0.00	1
60	2	0	100.00	2
61	0	0		0
62	0	0		0
63	3	0	100.00	3
64	2	0	100.00	2
65	1	0	100.00	1
66	2	0	100.00	2
67	0	0		0
68	2	0	100.00	2
69	0	2	0.00	2
70	1	0	100.00	1
71	1	1	50.00	2
72	1	1	50.00	2
73	1	0	100.00	1
74	1	2	33.33	3
75	1	1	50.00	2
76	1	0	100.00	1
77	2	0	100.00	2
78	0	0		0
79	1	0	100.00	1
80	0	1	0.00	1
81	0	2	0.00	2
82	0	0		0
83	2	0	100.00	2
84	1	2	33.33	3
85	0	0		0
86	4	2	66.67	6
87	2	0	100.00	2
88	1	0	100.00	1
89	0	0		0

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	11	0.00	11
2	0	3	0.00	3
3	0	9	0.00	9
4	0	6	0.00	6
5	0	9	0.00	9
6	0	6	0.00	6
7	0	9	0.00	9
8	0	3	0.00	3
9	0	7	0.00	7
10	1	9	10.00	10
11	0	7	0.00	7
12	0	3	0.00	3
13	1	7	12.50	8
14	0	9	0.00	9
15	0	6	0.00	6
16	2	6	25.00	8
17	0	15	0.00	15
18	0	8	0.00	8
19	0	10	0.00	10
20	0	4	0.00	4
21	0	6	0.00	6
22	0	7	0.00	7
23	0	6	0.00	6
24	0	4	0.00	4
25	0	6	0.00	6
26	0	5	0.00	5
27	0	5	0.00	5
28	0	6	0.00	6
29	0	9	0.00	9
30	0	7	0.00	7
31	0	3	0.00	3
32	0	4	0.00	4
33	2	1	66.67	3
34	1	4	20.00	5
35	0	6	0.00	6
36	0	5	0.00	5
37	2	7	22.22	9
38	1	10	9.09	11
39	0	3	0.00	3
40	0	1	0.00	1
41	1	6	14.29	7
42	0	2	0.00	2
43	0	4	0.00	4
44	0	6	0.00	6
45	0	4	0.00	4
46	0	3	0.00	3
47	0	3	0.00	3
48	0	3	0.00	3
49	0	4	0.00	4
50	0	4	0.00	4
51	0	7	0.00	7
52	0	7	0.00	7
53	0	4	0.00	4
54	0	0		0
55	0	8	0.00	8
56	0	5	0.00	5
57	0	2	0.00	2
58	1	2	33.33	3
59	0	2	0.00	2
60	1	6	14.29	7
61	0	4	0.00	4
62	0	1	0.00	1
63	0	3	0.00	3
64	0	4	0.00	4
65	0	3	0.00	3
66	0	1	0.00	1
67	0	2	0.00	2
68	1	5	16.67	6
69	0	4	0.00	4
70	0	4	0.00	4
71	0	2	0.00	2
72	0	5	0.00	5
73	1	4	20.00	5
74	0	1	0.00	1
75	1	3	25.00	4
76	0	2	0.00	2
77	0	2	0.00	2
78	0	3	0.00	3
79	0	3	0.00	3
80	0	2	0.00	2
81	1	2	33.33	3
82	0	2	0.00	2
83	0	2	0.00	2
84	0	1	0.00	1
85	0	4	0.00	4
86	0	4	0.00	4
87	0	3	0.00	3
88	0	1	0.00	1
89	0	0		0

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	26	0.00	26
2	0	14	0.00	14
3	0	23	0.00	23
4	0	19	0.00	19
5	0	23	0.00	23
6	0	25	0.00	25
7	0	17	0.00	17
8	1	18	5.26	19
9	1	14	6.67	15
10	1	20	4.76	21
11	0	16	0.00	16
12	1	14	6.67	15
13	0	18	0.00	18
14	2	16	11.11	18
15	1	15	6.25	16
16	0	16	0.00	16
17	1	14	6.67	15
18	0	23	0.00	23
19	0	17	0.00	17
20	0	13	0.00	13
21	0	22	0.00	22
22	0	10	0.00	10
23	0	21	0.00	21
24	0	11	0.00	11
25	1	15	6.25	16
26	0	16	0.00	16
27	1	13	7.14	14
28	2	19	9.52	21
29	0	15	0.00	15
30	0	21	0.00	21
31	1	17	5.56	18
32	1	19	5.00	20
33	1	15	6.25	16
34	2	10	16.67	12
35	0	16	0.00	16
36	0	14	0.00	14
37	0	12	0.00	12
38	2	10	16.67	12
39	0	21	0.00	21
40	0	18	0.00	18
41	0	17	0.00	17
42	0	11	0.00	11
43	2	13	13.33	15
44	0	10	0.00	10
45	1	12	7.69	13
46	0	9	0.00	9
47	1	6	14.29	7
48	0	11	0.00	11
49	0	12	0.00	12
50	0	8	0.00	8
51	1	11	8.33	12
52	0	8	0.00	8
53	0	12	0.00	12
54	0	11	0.00	11
55	0	10	0.00	10
56	1	11	8.33	12
57	1	15	6.25	16
58	1	11	8.33	12
59	0	17	0.00	17
60	0	10	0.00	10
61	0	11	0.00	11
62	0	8	0.00	8
63	0	13	0.00	13
64	0	10	0.00	10
65	2	11	15.38	13
66	1	12	7.69	13
67	0	14	0.00	14
68	0	8	0.00	8
69	0	9	0.00	9
70	0	8	0.00	8
71	1	11	8.33	12
72	0	11	0.00	11
73	1	11	8.33	12
74	0	9	0.00	9
75	1	11	8.33	12
76	1	8	11.11	9
77	0	9	0.00	9
78	0	8	0.00	8
79	1	9	10.00	10
80	0	8	0.00	8
81	1	8	11.11	9
82	0	15	0.00	15
83	0	7	0.00	7
84	0	5	0.00	5
85	0	6	0.00	6
86	1	6	14.29	7
87	0	10	0.00	10
88	1	5	16.67	6
89	1	0	100.00	1

